"TIMESTAMP","U","V","W","T_SONIC","SA_DIAG_TYPE","SA_DIAG_VALUE","CO2_CONC","H2O_CONC","CO2_DRY","H2O_DRY","T_CELL","T_CELL_IN","T_CELL_OUT","PRESS_CELL","FLOW_VOLRATE","GA_DIAG_CODE","CO2_STR","H2O_STR","DELTA_STR","GA_CHKSUM"
20221214193000.10,0.124662,-0.080083,0.145191,294.216,00,00,19.9155,284.204,484.703,6.91693,19.9963,19.9862,19.9988,100.828,1.1863,8191,101.389,101.567,-0.17767,200
20221214193000.20,0.0933867,-0.0926507,0.131358,294.493,00,00,19.9166,284.513,484.674,6.92368,20.0049,20.0089,20.0039,100.828,1.1863,8191,101.389,101.565,-0.175345,067
20221214193000.30,0.0649951,-0.0825786,0.116584,294.676,00,00,19.9179,284.321,484.723,6.91923,19.9925,19.9774,19.9963,100.827,1.1863,8191,101.389,101.565,-0.175345,075
20221214193000.40,0.0453828,-0.0476246,0.104682,294.739,00,00,19.9157,284.291,484.685,6.91876,19.9963,19.9963,19.9963,100.828,1.1863,8191,101.389,101.567,-0.17767,086
20221214193000.50,0.0535353,-0.0359708,0.10272,294.664,00,00,19.9145,284.421,484.688,6.92235,19.9973,19.9862,20.0001,100.828,1.1863,8191,101.389,101.567,-0.17767,022
20221214193000.60,0.0572229,0.00842413,0.112896,294.467,00,00,19.9177,284.447,484.724,6.92243,19.9895,19.9925,19.9887,100.828,1.1863,8191,101.386,101.565,-0.178444,157
20221214193000.70,0.0715617,0.0235677,0.109356,294.448,00,00,19.9164,284.438,484.703,6.92235,19.9933,19.9963,19.9925,100.828,1.1863,8191,101.389,101.567,-0.17767,078
20221214193000.80,0.0959622,0.040494,0.0973373,294.408,00,00,19.9133,284.308,484.633,6.91924,20.0009,20.0039,20.0001,100.827,1.1863,8191,101.386,101.565,-0.178444,045
20221214193000.90,0.0894597,0.0146938,0.10936,294.339,00,00,19.916,284.291,484.708,6.91895,20.0003,20.0014,20.0001,100.826,1.1863,8191,101.386,101.565,-0.178444,252
20221214193001.00,0.122215,0.00689872,0.100589,294.402,00,00,19.9157,284.359,484.715,6.92084,19.9933,19.9812,19.9963,100.826,1.1863,8191,101.386,101.567,-0.180769,114
20221214193001.10,0.132647,-0.0232704,0.106453,294.437,00,00,19.9169,284.48,484.738,6.92369,19.9784,19.9824,19.9774,100.826,1.1863,8191,101.386,101.567,-0.180769,188
20221214193001.20,0.121487,-0.0498211,0.13457,294.523,00,00,19.9137,284.336,484.628,6.91971,19.9872,19.9812,19.9887,100.826,1.1863,8191,101.389,101.569,-0.180006,084
20221214193001.30,0.167728,-0.101959,0.154833,294.505,00,00,19.9161,284.327,484.717,6.91992,19.993,19.9799,19.9963,100.822,1.1863,8191,101.389,101.567,-0.17767,010
20221214193001.40,0.182258,-0.0184944,0.123862,294.399,00,00,19.9131,284.238,484.642,6.91775,19.9852,19.9711,19.9887,100.826,1.1863,8191,101.389,101.567,-0.17767,047
20221214193001.50,0.235243,0.00395625,0.0386976,294.305,00,00,19.9178,284.282,484.775,6.91909,19.9875,20.0026,19.9837,100.822,1.1863,8191,101.389,101.567,-0.17767,046
20221214193001.60,0.205528,0.0330001,0.0323301,294.18,00,00,19.9161,284.495,484.696,6.92373,19.9855,19.9774,19.9875,100.826,1.1863,8191,101.389,101.567,-0.17767,064
20221214193001.70,0.248909,0.000446356,0.00262489,294.102,00,00,19.9157,284.414,484.691,6.92184,19.987,19.99,19.9862,100.826,1.1863,8191,101.389,101.567,-0.17767,158
20221214193001.80,0.219006,-0.00478936,-0.018513,294.136,00,00,19.9159,284.262,484.683,6.91795,19.9943,19.9963,19.9938,100.826,1.1863,8191,101.389,101.565,-0.175345,164
20221214193001.90,0.239698,0.00955945,-0.0248135,294.141,00,00,19.9121,284.385,484.611,6.92124,19.9771,19.9862,19.9749,100.828,1.1863,8191,101.389,101.567,-0.17767,099
20221214193002.00,0.259514,0.0610169,-0.0277198,294.128,00,00,19.9146,284.401,484.702,6.92204,19.9857,19.9736,19.9887,100.828,1.1863,8191,101.393,101.569,-0.176895,130
20221214193002.10,0.266354,0.0654614,0.0236621,294.096,00,00,19.9177,284.239,484.728,6.91738,19.9986,19.9976,19.9988,100.827,1.1863,8191,101.393,101.569,-0.176895,004
20221214193002.20,0.257895,0.0862755,-0.00081459,294.123,00,00,19.9182,284.349,484.744,6.92015,19.9905,19.9824,19.9925,100.827,1.1863,8191,101.389,101.567,-0.17767,027
20221214193002.30,0.222994,0.124321,-0.00253473,294.13,00,00,19.9148,284.306,484.665,6.91913,19.9978,19.9938,19.9988,100.827,1.1863,8191,101.389,101.565,-0.175345,094
20221214193002.40,0.210791,0.149691,-0.0158876,294.124,00,00,19.9134,284.205,484.703,6.9177,19.9966,19.9925,19.9976,100.827,1.1863,8191,101.386,101.567,-0.180769,075
20221214193002.50,0.211271,0.131865,-0.0421806,294.097,00,00,19.9153,284.248,484.681,6.91777,19.9943,19.9862,19.9963,100.827,1.1863,8191,101.389,101.567,-0.17767,065
20221214193002.60,0.202875,0.0921303,-0.0507315,294.13,00,00,19.9139,284.177,484.689,6.91666,19.9993,19.9812,20.0039,100.827,1.1863,8191,101.389,101.567,-0.17767,087
20221214193002.70,0.166034,0.0932423,-0.0222337,294.128,00,00,19.9166,284.434,484.727,6.9225,19.9963,19.9862,19.9988,100.826,1.1863,8191,101.389,101.567,-0.17767,022
20221214193002.80,0.165516,0.0946723,-0.0105441,294.128,00,00,19.9166,284.356,484.731,6.92067,19.9928,19.9837,19.995,100.827,1.1863,8191,101.389,101.569,-0.180006,071
20221214193002.90,0.146688,0.0676299,0.0149914,294.123,00,00,19.9162,284.168,484.715,6.91599,19.9913,19.9761,19.995,100.823,1.1863,8191,101.389,101.567,-0.17767,019
20221214193003.00,0.114308,0.110788,0.0168193,294.159,00,00,19.9203,284.401,484.835,6.92196,20.0009,19.9938,20.0026,100.832,1.1863,8191,101.393,101.567,-0.174558,012
20221214193003.10,0.0624795,0.159339,0.0285452,294.196,00,00,19.9116,284.124,484.593,6.9148,19.9849,19.9799,19.9862,100.823,1.1863,8191,101.389,101.569,-0.180006,189
20221214193003.20,0.0273266,0.140432,0.0473494,294.309,00,00,19.9175,284.372,484.763,6.92122,19.993,19.9749,19.9976,100.828,1.1863,8191,101.389,101.567,-0.17767,036
20221214193003.30,0.031507,0.133338,0.0680248,294.43,00,00,19.9128,284.288,484.657,6.91926,19.9945,19.9875,19.9963,100.827,1.1863,8191,101.389,101.569,-0.180006,103
20221214193003.40,0.0253039,0.0738828,0.107263,294.439,00,00,19.9156,284.282,484.667,6.9183,19.9986,19.9925,20.0001,100.828,1.1863,8191,101.389,101.567,-0.17767,255
20221214193003.50,0.0880392,0.0494695,0.236211,294.778,00,00,19.9147,284.319,484.661,6.91942,20.0014,19.9963,20.0026,100.828,1.1863,8191,101.389,101.569,-0.180006,042
20221214193003.60,0.00837837,0.0849357,0.188669,294.824,00,00,19.9158,284.198,484.712,6.91683,19.9913,19.9862,19.9925,100.826,1.1863,8191,101.389,101.567,-0.17767,090
20221214193003.70,0.0688279,0.17508,0.123838,294.732,00,00,19.9134,284.273,484.662,6.91877,19.9905,19.9774,19.9938,100.822,1.1863,8191,101.393,101.572,-0.179219,111
20221214193003.80,0.00599304,0.198878,0.159246,294.815,00,00,19.9119,284.341,484.621,6.92037,20.0006,19.9976,20.0014,100.828,1.1863,8191,101.393,101.569,-0.176895,083
20221214193003.90,-0.0360744,0.139631,0.22281,294.978,00,00,19.9151,284.268,484.691,6.91847,20.0031,20.0152,20.0001,100.828,1.1863,8191,101.393,101.569,-0.176895,053
